iter	Passed	Remaining
0	0	83
1	0	108
2	0	100
3	0	99
4	0	93
5	1	92
6	1	95
7	1	87
8	1	84
9	1	82
10	1	79
11	1	76
12	1	74
13	2	74
14	2	74
15	2	74
16	2	75
17	2	75
18	2	75
19	3	74
20	3	72
21	3	72
22	3	71
23	3	70
24	3	71
25	3	70
26	4	71
27	4	71
28	4	71
29	4	72
30	4	72
31	4	72
32	5	72
33	5	72
34	5	71
35	5	71
36	5	70
37	5	69
38	5	69
39	5	68
40	6	67
41	6	66
42	6	65
43	6	66
44	6	65
45	6	66
46	6	65
47	6	65
48	7	65
49	7	65
50	7	64
51	7	64
52	7	64
53	7	64
54	7	63
55	8	64
56	8	64
57	8	64
58	8	63
59	10	79
60	11	79
61	11	79
62	11	79
63	11	79
64	11	79
65	12	78
66	12	78
67	12	78
68	12	78
69	12	77
70	12	76
71	12	76
72	12	75
73	13	75
74	13	74
75	13	73
76	13	73
77	13	72
78	13	71
79	13	71
80	13	70
81	13	70
82	13	69
83	13	69
84	14	68
85	14	67
86	14	67
87	14	66
88	14	66
89	14	66
90	14	65
91	14	65
92	14	64
93	14	64
94	15	64
95	15	63
96	15	63
97	15	62
98	15	62
99	15	61
100	15	61
101	15	61
102	15	60
103	15	60
104	15	60
105	16	59
106	16	59
107	16	59
108	16	58
109	16	58
110	16	57
111	16	57
112	16	57
113	16	56
114	16	56
115	17	56
116	17	55
117	17	55
118	17	55
119	17	55
120	17	54
121	17	54
122	17	54
123	17	53
124	17	53
125	17	53
126	18	53
127	18	52
128	18	52
129	18	52
130	18	52
131	18	51
132	18	51
133	18	51
134	18	50
135	18	50
136	19	50
137	19	50
138	19	49
139	19	49
140	19	49
141	19	49
142	19	48
143	19	48
144	19	48
145	19	48
146	19	48
147	20	47
148	20	47
149	20	47
150	20	47
151	20	46
152	20	46
153	20	46
154	20	46
155	20	46
156	21	45
157	21	45
158	21	45
159	21	45
160	21	45
161	21	44
162	21	44
163	21	44
164	21	44
165	21	43
166	21	43
167	22	43
168	22	43
169	22	43
170	22	43
171	22	42
172	22	42
173	22	42
174	22	42
175	22	41
176	22	41
177	22	41
178	23	41
179	23	41
180	23	40
181	23	40
182	23	40
183	23	40
184	23	40
185	23	40
186	23	39
187	23	39
188	23	39
189	24	39
190	24	39
191	24	38
192	24	38
193	24	38
194	24	38
195	24	38
196	24	37
197	24	37
198	24	37
199	24	37
200	25	37
201	25	37
202	25	37
203	25	36
204	25	36
205	25	36
206	25	36
207	25	36
208	25	36
209	25	35
210	26	35
211	26	35
212	26	35
213	26	35
214	26	35
215	26	34
216	26	34
217	26	34
218	26	34
219	26	34
220	26	34
221	27	33
222	27	33
223	27	33
224	27	33
225	27	33
226	27	33
227	27	33
228	27	32
229	27	32
230	27	32
231	28	32
232	28	32
233	28	32
234	28	32
235	28	31
236	28	31
237	28	31
238	28	31
239	28	31
240	29	31
241	29	31
242	29	30
243	29	30
244	29	30
245	29	30
246	29	30
247	29	30
248	29	30
249	29	29
250	30	29
251	30	29
252	30	29
253	30	29
254	30	29
255	30	29
256	30	28
257	30	28
258	30	28
259	31	28
260	31	28
261	31	28
262	31	28
263	31	28
264	31	27
265	31	27
266	31	27
267	31	27
268	31	27
269	32	27
270	32	27
271	32	26
272	32	26
273	32	26
274	32	26
275	32	26
276	32	26
277	33	26
278	33	26
279	33	26
280	33	26
281	33	25
282	33	25
283	33	25
284	33	25
285	33	25
286	33	25
287	34	25
288	34	24
289	34	24
290	34	24
291	34	24
292	34	24
293	34	24
294	34	24
295	34	24
296	34	23
297	35	23
298	35	23
299	35	23
300	35	23
301	35	23
302	35	23
303	35	23
304	35	22
305	35	22
306	36	22
307	36	22
308	36	22
309	36	22
310	36	22
311	36	22
312	37	22
313	37	22
314	37	21
315	37	21
316	37	21
317	37	21
318	37	21
319	37	21
320	37	21
321	38	21
322	38	20
323	38	20
324	38	20
325	38	20
326	38	20
327	38	20
328	38	20
329	38	20
330	39	19
331	39	19
332	39	19
333	39	19
334	39	19
335	39	19
336	39	19
337	40	19
338	40	19
339	40	18
340	40	18
341	40	18
342	40	18
343	40	18
344	40	18
345	40	18
346	41	18
347	41	17
348	41	17
349	41	17
350	41	17
351	41	17
352	41	17
353	41	17
354	41	17
355	42	16
356	42	16
357	42	16
358	42	16
359	42	16
360	42	16
361	42	16
362	42	16
363	42	16
364	43	15
365	43	15
366	43	15
367	43	15
368	43	15
369	43	15
370	43	15
371	43	15
372	43	14
373	43	14
374	44	14
375	44	14
376	44	14
377	44	14
378	44	14
379	44	14
380	44	13
381	44	13
382	44	13
383	44	13
384	44	13
385	45	13
386	45	13
387	45	13
388	45	12
389	45	12
390	45	12
391	45	12
392	45	12
393	45	12
394	46	12
395	46	12
396	46	11
397	46	11
398	46	11
399	46	11
400	46	11
401	46	11
402	46	11
403	46	11
404	46	11
405	47	10
406	47	10
407	47	10
408	47	10
409	47	10
410	47	10
411	47	10
412	47	10
413	47	9
414	48	9
415	48	9
416	48	9
417	48	9
418	48	9
419	48	9
420	48	9
421	48	8
422	48	8
423	48	8
424	48	8
425	49	8
426	49	8
427	49	8
428	49	8
429	49	8
430	49	7
431	49	7
432	49	7
433	49	7
434	49	7
435	49	7
436	50	7
437	50	7
438	50	6
439	50	6
440	50	6
441	50	6
442	50	6
443	50	6
444	50	6
445	51	6
446	51	6
447	51	5
448	51	5
449	51	5
450	51	5
451	51	5
452	51	5
453	51	5
454	51	5
455	52	5
456	52	4
457	52	4
458	52	4
459	52	4
460	52	4
461	52	4
462	52	4
463	52	4
464	52	3
465	53	3
466	53	3
467	53	3
468	53	3
469	53	3
470	53	3
471	53	3
472	53	3
473	53	2
474	53	2
475	53	2
476	54	2
477	54	2
478	54	2
479	54	2
480	54	2
481	54	2
482	54	1
483	54	1
484	55	1
485	55	1
486	55	1
487	55	1
488	55	1
489	55	1
490	55	1
491	55	0
492	55	0
493	56	0
494	56	0
495	56	0
496	56	0
497	56	0
498	56	0
499	56	0
