Movie_name,Top_genres,Release_Date,tconst,capped_profit,Successful,role_1,role_2,role_3,role_4,role_1_birth_year,role_2_birth_year,role_3_birth_year,role_4_birth_year,role_1_roles_count,role_2_roles_count,role_3_roles_count,role_4_roles_count,role_1_sex,role_2_sex,role_3_sex,role_4_sex
Ghosts of Mars,Drama,2001,tt0228333,-18703362.23932229,3.9,nm0000449,nm0001084,nm0000427,nm0005458,1974,1969,1949,1967,133.0,43.0,52.0,53.0,F,M,F,M
White Of The Eye,Drama,1987,tt0094320,0.0,4.5,nm0001418,nm0001550,nm0742165,nm0262543,1954,1960,1950,1942,68.0,40.0,115.0,25.0,M,F,M,M
Little city,Drama,1997,tt0119548,0.0,4.4,nm0000954,nm0000542,nm0068725,nm0255588,1962,1964,1932,1922,21.0,65.0,5.0,1.0,M,F,M,M
Henry V,Drama,1989,tt0097499,2217322.880186878,5.5,nm0000110,nm0001394,nm0791871,nm0488289,1960,1938,1956,\N,148.0,187.0,30.0,12.0,M,M,M,M
Baby Boy,Drama,2001,tt0255819,11609286.614221303,4.7,nm0942189,nm0879085,nm0378245,nm0328954,1971,1978,1970,1976,1.0,31.0,134.0,163.0,F,M,F,M
Rudo y Cursi,Drama,2008,tt0405393,11609286.614221303,4.8,nm0305558,nm0526019,nm0289856,nm0378855,1978,1979,1955,1966,83.0,97.0,621.0,286.0,M,M,M,F
Chandra Mukhi,Drama,1993,tt0106541,0.0,4.0,nm0015808,nm0025627,nm0046894,nm0318622,\N,1945,1961,1950,779.0,86.0,3557.0,35.0,F,M,M,M
Closing the Ring,Drama,2007,tt0488380,-26260578.616129763,4.1,nm0000511,nm0001626,nm0731048,nm0227821,1934,1929,1971,1928,75.0,217.0,1.0,1.0,F,M,M,M
The Boston Strangler,Drama,1968,tt0062755,11609286.614221303,4.9,nm0000348,nm0000020,nm0001421,nm0446037,1925,1905,1925,1922,111.0,203.0,102.0,55.0,M,M,M,M
The Hero: Love Story of a Spy,Drama,2003,tt0347167,0.0,4.3,nm0219971,nm0006689,nm1231899,nm0700869,1956,1975,1982,1932,90.0,34.0,122.0,74.0,M,F,F,M
Raampur Ka Lakshman,Drama,1972,tt0214042,0.0,4.5,nm0196380,nm0004334,nm0802374,nm0451387,1947,1954,1945,1940,20.0,105.0,88.0,13.0,M,F,M,F
Choke Canyon,Drama,1986,tt0090836,0.0,4.3,nm0004834,nm0432201,nm0004149,nm0000448,1947,1959,1941,1940,301.0,11.0,60.0,225.0,M,F,M,M
Children of Glory,Drama,2006,tt0486219,0.0,4.6,nm0229957,nm1322793,nm0190800,nm0315195,1974,1979,1975,1963,36.0,107.0,43.0,16.0,F,M,M,M
The Naked Kitchen,Drama,2009,tt1516552,704216.6320005406,4.4,nm1086555,nm0453705,nm2352559,nm2246822,1984,1971,1982,1976,24.0,30.0,12.0,8.0,F,M,M,F
A Zed & Two Noughts,Drama,1985,tt0090366,0.0,4.7,nm0212567,nm0212573,nm0275138,nm0053384,1949,1950,1947,1958,34.0,41.0,95.0,123.0,M,M,F,F
Things to Do in Denver When You're Dead,Drama,1995,tt0114660,-11605571.239955155,4.4,nm0000412,nm0000686,nm0000502,nm0001235,1956,1943,1938,1955,70.0,80.0,232.0,93.0,M,M,M,M
Valiant Is the Word for Carrie,Drama,1936,tt0028455,0.0,4.5,nm0313438,nm0431889,nm0397397,nm0226502,1900,1912,1913,1879,22.0,25.0,106.0,17.0,F,F,M,M
Straw Dogs,Drama,1971,tt0067800,11609286.614221303,5.0,nm0000163,nm0001265,nm0891092,nm0571435,1937,1950,1923,1929,72.0,43.0,87.0,46.0,M,F,M,M
The Lone Wolf Meets a Lady,Drama,1940,tt0032725,0.0,4.5,nm0929925,nm0089314,nm0611368,nm0430460,1894,1887,1911,1902,50.0,34.0,21.0,146.0,M,M,F,M
"Spring, Summer, Fall, Winter... and Spring",Drama,2003,tt0374546,11609286.614221303,5.1,nm1104118,nm1230598,nm1414385,nm1018275,1960,1944,\N,1971,3.0,10.0,2.0,7.0,M,M,M,M
Vanishing on 7th Street,Drama,2010,tt1452628,-10856693.211896358,4.0,nm0159789,nm0628601,nm0000491,nm3632976,1981,1972,1960,1996,28.0,89.0,121.0,72.0,M,F,M,M
Le Grand jeu,Drama,1934,tt0025198,0.0,4.7,nm0068372,nm0723918,nm0889024,nm0685780,1900,1895,1892,1884,29.0,31.0,105.0,1.0,F,M,M,M
Becoming Jane,Drama,2007,tt0416508,11609286.614221303,4.9,nm0004266,nm0564215,nm0910278,nm0000342,1982,1979,1950,1940,69.0,68.0,77.0,76.0,F,M,F,M
A Broken Life,Drama,2007,tt0937391,0.0,4.2,nm0001744,nm0786417,nm1634769,nm0000609,1961,1984,\N,1959,180.0,163.0,4.0,85.0,M,M,F,M
Midnight Express,Drama,1978,tt0077928,11609286.614221303,6.3,nm0001113,nm0591968,nm0005019,nm0093678,1949,1954,1938,1937,30.0,9.0,57.0,55.0,M,F,M,M
RoboCop 3,Drama,1993,tt0107978,-18682150.331698872,3.7,nm0121559,nm0000262,nm0532478,nm0752802,1960,1950,1935,\N,34.0,28.0,3.0,2.0,M,F,M,F
Rogues' Regiment,Drama,1948,tt0040744,0.0,4.6,nm0694090,nm0869084,nm0001637,nm0573640,1904,1926,1911,1911,95.0,16.0,172.0,84.0,M,F,M,M
Asylum Seekers,Drama,2009,tt1132135,0.0,4.1,nm0018665,nm0205929,nm1745642,nm2842160,\N,\N,\N,\N,19.0,23.0,2.0,4.0,F,M,F,M
Boy called Twist,Drama,2004,tt0461472,0.0,4.6,nm1753501,nm0284586,nm0288230,nm0193049,\N,\N,\N,\N,16.0,347.0,4.0,7.0,M,M,M,M
Bleeder,Drama,1999,tt0161292,0.0,4.6,nm0091035,nm0586568,nm0027810,nm0179828,1965,1965,1972,1973,70.0,97.0,33.0,11.0,M,M,F,F
If They Tell You I Fell,Drama,1989,tt0098324,0.0,4.3,nm0000721,nm0764450,nm0000104,nm0348741,1959,1969,1960,1958,175.0,115.0,111.0,18.0,F,M,M,M
Lord of the Flies,Drama,1963,tt0057261,-1932540.1360544215,4.6,nm0041405,nm0152204,nm0250046,nm0255900,1947,1948,1951,1950,23.0,1.0,1.0,1.0,M,M,M,M
When Will I Be Loved,Drama,2004,tt0396271,0.0,4.1,nm0000117,nm0919867,nm0156940,nm1249879,1973,1966,1931,\N,234.0,88.0,43.0,1.0,F,M,M,F
Raju Chacha,Drama,2000,tt0271748,0.0,4.2,nm0004418,nm0222426,nm0438501,nm0848308,1974,1969,1952,1954,47.0,123.0,99.0,422.0,F,M,M,M
Chaplin,Drama,1992,tt0103939,-36285236.40693313,4.1,nm0000375,nm0001036,nm0722631,nm0857177,1965,1944,1963,1942,86.0,102.0,45.0,190.0,M,F,M,M
Barah Aana,Drama,2009,tt1202517,0.0,4.6,nm0787462,nm0704694,nm1464837,nm0686376,1950,1963,1981,1976,179.0,64.0,46.0,45.0,M,M,M,F
I'm Losing You,Drama,1998,tt0142393,20326.319034814172,4.3,nm0001449,nm0901926,nm0000275,nm0000530,1938,1950,1959,1962,90.0,14.0,117.0,52.0,M,M,F,M
Amy,Drama,1981,tt0082017,0.0,4.5,nm0000256,nm0628017,nm0634303,nm0732468,1952,1930,1933,1938,119.0,65.0,242.0,102.0,F,M,F,M
Over the Rainbow,Drama,2002,tt0313445,3355874.506164466,4.7,nm0497631,nm0417532,nm1045837,nm4305476,1972,1974,1972,\N,35.0,9.0,11.0,2.0,M,F,M,M
The Enemy,Drama,1927,tt0017850,0.0,4.8,nm0001273,nm0285391,nm0256247,nm0193005,1893,1904,1899,1857,41.0,27.0,5.0,25.0,F,M,M,M
Picture Bride,Drama,1994,tt0114129,0.0,4.6,nm0473802,nm0847425,nm0846480,nm0000674,1971,1969,1950,1966,24.0,3.0,49.0,74.0,F,M,M,F
Green Dolphin Street,Drama,1947,tt0039437,0.0,5.4,nm0001336,nm0001805,nm0001656,nm0366489,1908,1921,1921,1915,58.0,56.0,248.0,23.0,M,F,F,M
The Teacher,Drama,1974,tt0072260,0.0,4.2,nm0866986,nm0636020,nm0416279,nm0773104,1942,1951,1942,1934,18.0,175.0,6.0,3.0,F,M,M,F
Seoul Jesus,Drama,1986,tt0091922,0.0,4.5,nm0014228,nm9017120,nm0437640,nm0453623,\N,\N,\N,1952,2.0,1.0,1.0,15.0,M,M,M,M
The Man with the Perfect Swing,Drama,1995,tt0113759,0.0,4.8,nm0988958,nm0767929,nm0673260,nm0067639,1959,\N,1949,1954,1.0,10.0,7.0,2.0,M,F,M,M
Someone to Watch Over Me,Drama,1987,tt0094008,-14004053.194084344,4.2,nm0000297,nm0000211,nm0000966,nm0001583,1949,1956,1954,1935,165.0,124.0,115.0,294.0,M,F,F,M
I Could Never Be Your Woman,Drama,2007,tt0466839,-16468242.911853945,4.2,nm0000201,nm0748620,nm1519680,nm0001808,1958,1969,1994,1959,69.0,88.0,22.0,160.0,F,M,F,F
The Careless Years,Drama,1957,tt0050229,0.0,4.4,nm0001777,nm0874353,nm0488024,nm0082511,1936,1940,1914,1915,200.0,10.0,91.0,377.0,M,F,M,F
Red Beard,Drama,1965,tt0058888,0.0,4.9,nm0001536,nm0443232,nm0945734,nm0199029,1920,1937,1936,1935,138.0,58.0,46.0,61.0,M,M,M,F
Knife in the Water,Drama,1962,tt0056291,0.0,4.7,nm0631102,nm0880840,nm0538931,nm0162134,1923,1937,1938,1936,93.0,2.0,14.0,20.0,M,F,M,F
Amador,Drama,2010,tt1477171,0.0,4.6,nm2008680,nm0119438,nm0796267,nm0971346,1986,1947,\N,1972,16.0,51.0,15.0,36.0,F,M,M,F
Crime Doctor,Drama,1943,tt0035766,0.0,4.5,nm0062828,nm0512267,nm0514344,nm0172615,1889,1910,1892,1889,65.0,60.0,99.0,90.0,M,F,M,M
Kadosh,Drama,1999,tt0189630,0.0,4.6,nm0008404,nm0368701,nm0054167,nm0709355,1967,1966,1978,1963,88.0,28.0,2.0,16.0,F,M,F,M
College Coach,Drama,1933,tt0023899,0.0,4.4,nm0694090,nm0245304,nm0002285,nm0126365,1904,1911,1899,1872,95.0,48.0,107.0,12.0,M,F,M,M
Images,Drama,1972,tt0068732,0.0,4.7,nm0948772,nm0041281,nm0102566,nm0587608,1939,1940,1929,1929,84.0,522.0,42.0,2.0,F,M,M,M
The Gorgon,Drama,1964,tt0058155,0.0,4.5,nm0000489,nm0001088,nm0664390,nm0791176,1922,1913,1926,1932,178.0,91.0,31.0,54.0,M,M,M,F
The Prime of Miss Jean Brodie,Drama,1969,tt0064840,0.0,5.3,nm0001749,nm0413561,nm0827137,nm0291512,1934,1923,1931,1950,50.0,115.0,55.0,34.0,F,M,M,F
Sioux City,Drama,1994,tt0111199,0.0,4.4,nm0001617,nm0724757,nm0227039,nm0194006,1962,1967,1939,1959,181.0,184.0,27.0,19.0,M,F,F,F
Count Your Blessings,Drama,1959,tt0052706,0.0,4.2,nm0000039,nm0106387,nm0002001,nm0827101,1921,1916,1888,1949,51.0,116.0,48.0,3.0,F,M,M,M
"Laugh, Clown, Laugh",Drama,1928,tt0019074,-4042566.10976202,4.7,nm0151606,nm0796900,nm0949835,nm0280201,1883,1868,1913,1873,67.0,13.0,226.0,19.0,M,M,F,F
Shaft,Drama,1971,tt0067741,-23386161.76167936,4.7,nm0745780,nm0348214,nm0162541,nm0820626,1942,1929,1935,\N,91.0,27.0,38.0,2.0,M,M,M,M
Just Wright,Drama,2010,tt1407061,11609286.614221303,4.6,nm0001451,nm0996669,nm1745736,nm0681782,1970,1972,1975,1954,205.0,72.0,42.0,223.0,F,M,F,M
The Big Trees,Drama,1952,tt0044420,0.0,4.4,nm0000018,nm0588322,nm0943867,nm0118000,1916,1923,1926,1903,86.0,18.0,19.0,374.0,M,F,F,M
Bless the Child,Drama,2000,tt0163983,609038.8454994193,4.3,nm0000107,nm0001751,nm0001722,nm0171052,1953,1955,1967,1992,54.0,141.0,89.0,2.0,F,M,M,F
Secrets,Drama,1924,tt0015312,0.0,4.5,nm0848232,nm0639545,nm0224495,nm0280605,1894,1880,1902,1860,67.0,19.0,1.0,11.0,F,M,F,F
